"행정구역별","성별","연령별","경제활동상태별","시점","1인가구-계","본인의 직장 때문에","본인의 학업 때문에","본인의 독립 생활을 위하여","본인의 건강 때문에","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","가족과 사별","기타",
"전국","남자","80~84","주로 일하였음","2020년","7344","307","","","115","3163","3738","21",
"전국","남자","80~84","틈틈이 일하였음","2020년","398","13","","","","189","196","",
"전국","남자","80~84","일시 휴직","2020년","127","","","","","91","36","",
"전국","남자","80~84","일하지 않았음","2020년","45187","218","","","2052","18397","24373","147",
"전국","남자","85세 이상","합계","2020년","33766","","","","1615","11920","20091","140",
"전국","남자","85세 이상","주로 일하였음","2020년","2328","","","","26","1025","1272","5",
"전국","남자","85세 이상","틈틈이 일하였음","2020년","117","","","","2","48","67","",
"전국","남자","85세 이상","일시 휴직","2020년","57","","","","1","28","28","",
"전국","남자","85세 이상","일하지 않았음","2020년","31264","","","","1586","10819","18724","135",
"전국","여자","합계","합계","2020년","3338768","839700","152696","779320","49416","738439","764578","14619",
"전국","여자","합계","주로 일하였음","2020년","1557250","684379","2145","430085","4937","253752","177085","4867",
"전국","여자","합계","틈틈이 일하였음","2020년","142208","38626","37864","31473","591","20693","12531","430",
"전국","여자","합계","일시 휴직","2020년","56476","20103","608","21959","558","8730","4134","384",
"전국","여자","합계","일하지 않았음","2020년","1582834","96592","112079","295803","43330","455264","570828","8938",
"전국","여자","15~19","합계","2020년","38077","5396","31233","","","1184","247","17",
"전국","여자","15~19","주로 일하였음","2020년","4578","2796","1671","","","72","28","11",
"전국","여자","15~19","틈틈이 일하였음","2020년","6945","779","5905","","","213","48","",
"전국","여자","15~19","일시 휴직","2020년","249","114","132","","","","3","",
"전국","여자","15~19","일하지 않았음","2020년","26305","1707","23525","","","899","168","6",
"전국","여자","20~24","합계","2020년","277090","105522","107080","49992","","11310","2769","417",
"전국","여자","20~24","주로 일하였음","2020년","101266","73525","121","23379","","3200","792","249",
"전국","여자","20~24","틈틈이 일하였음","2020년","51061","13339","28142","6775","","2045","739","21",
"전국","여자","20~24","일시 휴직","2020년","3171","1664","349","980","","154","22","2",
"전국","여자","20~24","일하지 않았음","2020년","121592","16994","78468","18858","","5911","1216","145",
"전국","여자","25~29","합계","2020년","341920","223032","11716","89074","","13489","3757","852",
"전국","여자","25~29","주로 일하였음","2020년","263109","188393","198","62955","","8498","2555","510",
"전국","여자","25~29","틈틈이 일하였음","2020년","18780","9527","3241","4590","","1032","374","16",
"전국","여자","25~29","일시 휴직","2020년","7682","4640","57","2532","","367","64","22",
"전국","여자","25~29","일하지 않았음","2020년","52349","20472","8220","18997","","3592","764","304",
"전국","여자","30~34","합계","2020년","223843","132041","1676","72739","704","12465","3407","811",
"전국","여자","30~34","주로 일하였음","2020년","177270","113146","14","52988","188","8228","2318","388",
"전국","여자","30~34","틈틈이 일하였음","2020년","8859","4677","411","3034","23","538","142","34",
"전국","여자","30~34","일시 휴직","2020년","7311","3871","35","2820","33","404","97","51",
"전국","여자","30~34","일하지 않았음","2020년","30403","10347","1216","13897","460","3295","850","338",
"전국","여자","35~39","합계","2020년","176927","85105","555","71700","1276","13228","4001","1062",
"전국","여자","35~39","주로 일하였음","2020년","132762","71758","70","49798","286","7703","2666","481",
"전국","여자","35~39","틈틈이 일하였음","2020년","5654","2360","117","2384","30","580","144","39",
"전국","여자","35~39","일시 휴직","2020년","7117","2904","32","3205","73","651","207","45",
"전국","여자","35~39","일하지 않았음","2020년","31394","8083","336","16313","887","4294","984","497",
"전국","여자","40~44","합계","2020년","154360","61882","204","69455","1926","14982","4739","1172",
"전국","여자","40~44","주로 일하였음","2020년","111969","52149","28","47237","401","8691","2968","495",
"전국","여자","40~44","틈틈이 일하였음","2020년","4900","1681","35","2305","60","630","138","51",
"전국","여자","40~44","일시 휴직","2020년","5943","2099","3","3037","63","525","170","46",
"전국","여자","40~44","일하지 않았음","2020년","31548","5953","138","16876","1402","5136","1463","580",
"전국","여자","45~49","합계","2020년","177189","59007","136","76455","2733","29092","8133","1633",
"전국","여자","45~49","주로 일하였음","2020년","123209","49690","15","49355","535","18229","4762","623",
"전국","여자","45~49","틈틈이 일하였음","2020년","6081","1813","5","2848","55","1031","271","58",
"전국","여자","45~49","일시 휴직","2020년","5695","1791","","2902","84","651","225","42",
"전국","여자","45~49","일하지 않았음","2020년","42204","5713","116","21350","2059","9181","2875","910",
"전국","여자","50~54","합계","2020년","197482","52394","26","72282","3676","53012","14378","1714",
"전국","여자","50~54","주로 일하였음","2020년","130447","44476","20","43970","628","32285","8398","670",
"전국","여자","50~54","틈틈이 일하였음","2020년","6284","1474","","2393","82","1863","426","46",
"전국","여자","50~54","일시 휴직","2020년","5336","1228","","2426","90","1195","356","41",
"전국","여자","50~54","일하지 않았음","2020년","55415","5216","6","23493","2876","17669","5198","957",
"전국","여자","55~59","합계","2020년","247316","47726","45","73769","5426","85242","32917","2191",
"전국","여자","55~59","주로 일하였음","2020년","147866","40343","8","39332","765","48386","18373","659",
"전국","여자","55~59","틈틈이 일하였음","2020년","6979","1248","8","2316","100","2615","596","96",
"전국","여자","55~59","일시 휴직","2020년","4769","882","","1899","72","1367","469","80",
"전국","여자","55~59","일하지 않았음","2020년","87702","5253","29","30222","4489","32874","13479","1356",
"전국","여자","60~64","합계","2020년","310184","37302","11","79793","6430","110581","74527","1540",
"전국","여자","60~64","주로 일하였음","2020년","146570","29657","","34118","748","48851","32759","437",
"전국","여자","60~64","틈틈이 일하였음","2020년","7948","893","","2228","77","3332","1395","23",
"전국","여자","60~64","일시 휴직","2020년","4227","604","","1263","79","1498","756","27",
"전국","여자","60~64","일하지 않았음","2020년","151439","6148","11","42184","5526","56900","39617","1053",
"전국","여자","65~69","합계","2020년","277787","16963","6","59383","5840","92942","101384","1269",
"전국","여자","65~69","주로 일하였음","2020년","88997","11605","","16533","626","28768","31252","213",
"전국","여자","65~69","틈틈이 일하였음","2020년","6097","503","","1402","31","2235","1909","17",
"전국","여자","65~69","일시 휴직","2020년","2268","220","","547","26","824","632","19",
"전국","여자","65~69","일하지 않았음","2020년","180425","4635","6","40901","5157","61115","67591","1020",
"전국","여자","70~74","합계","2020년","263396","8005","8","40497","5119","81385","127688","694",
"전국","여자","70~74","주로 일하였음","2020년","59241","4798","","7257","346","17924","28857","59",
"전국","여자","70~74","틈틈이 일하였음","2020년","5235","214","","776","54","1845","2317","29",
"전국","여자","70~74","일시 휴직","2020년","1282","55","","229","25","488","485","",
"전국","여자","70~74","일하지 않았음","2020년","197638","2938","8","32235","4694","61128","96029","606",
"전국","여자","75~79","합계","2020년","270302","4697","","24181","5597","82397","152834","596",
"전국","여자","75~79","주로 일하였음","2020년","42673","1889","","3163","213","12848","24500","60",
"전국","여자","75~79","틈틈이 일하였음","2020년","4480","111","","422","59","1473","2415","",
"전국","여자","75~79","일시 휴직","2020년","888","31","","119","7","331","391","9",
"전국","여자","75~79","일하지 않았음","2020년","222261","2666","","20477","5318","67745","125528","527",
"전국","여자","80~84","합계","2020년","225791","628","","","5027","82902","136875","359",
"전국","여자","80~84","주로 일하였음","2020년","21382","154","","","155","7818","13252","3",
"전국","여자","80~84","틈틈이 일하였음","2020년","2201","7","","","16","965","1213","",
"전국","여자","80~84","일시 휴직","2020년","415","","","","","220","195","",
"전국","여자","80~84","일하지 않았음","2020년","201793","467","","","4856","73899","122215","356",
"전국","여자","85세 이상","합계","2020년","157104","","","","5662","54228","96922","292",
"전국","여자","85세 이상","주로 일하였음","2020년","5911","","","","46","2251","3605","9",
"전국","여자","85세 이상","틈틈이 일하였음","2020년","704","","","","4","296","404","",
"전국","여자","85세 이상","일시 휴직","2020년","123","","","","6","55","62","",
"전국","여자","85세 이상","일하지 않았음","2020년","150366","","","","5606","51626","92851","283",
"동부","계","합계","합계","2020년","5300849","1864383","287797","1503983","70141","858499","685654","30392",
"동부","계","합계","주로 일하였음","2020년","3011558","1568356","3295","899256","7015","343258","178044","12334",
"동부","계","합계","틈틈이 일하였음","2020년","212248","64311","64004","48007","758","23322","11177","669",
"동부","계","합계","일시 휴직","2020년","104169","40424","1187","41361","981","12877","6357","982",
"동부","계","합계","일하지 않았음","2020년","1972874","191292","219311","515359","61387","479042","490076","16407",
"동부","계","15~19","합계","2020년","61203","9282","49512","","","2046","335","28",
"동부","계","15~19","주로 일하였음","2020년","7242","4564","2438","","","163","60","17",
"동부","계","15~19","틈틈이 일하였음","2020년","9597","1428","7742","","","377","50","",
"동부","계","15~19","일시 휴직","2020년","380","154","223","","","","3","",
"동부","계","15~19","일하지 않았음","2020년","43984","3136","39109","","","1506","222","11",
"동부","계","20~24","합계","2020년","434915","146736","186152","78198","","18427","4664","738",
"동부","계","20~24","주로 일하였음","2020년","141854","100041","132","35259","","4631","1375","416",
"동부","계","20~24","틈틈이 일하였음","2020년","75520","17957","43526","9795","","3142","1057","43",
"동부","계","20~24","일시 휴직","2020년","4974","2304","644","1638","","286","90","12",
"동부","계","20~24","일하지 않았음","2020년","212567","26434","141850","31506","","10368","2142","267",
"동부","계","25~29","합계","2020년","693054","435873","45697","174631","","26375","8316","2162",
"동부","계","25~29","주로 일하였음","2020년","508662","364507","392","120946","","15956","5559","1302",
"동부","계","25~29","틈틈이 일하였음","2020년","41524","18783","11240","8823","","1849","758","71",
"동부","계","25~29","일시 휴직","2020년","13494","8042","239","4282","","672","185","74",
"동부","계","25~29","일하지 않았음","2020년","129374","44541","33826","40580","","7898","1814","715",
"동부","계","30~34","합계","2020년","546390","338801","4834","164939","1399","25307","8633","2477",
"동부","계","30~34","주로 일하였음","2020년","447606","296166","67","125101","436","18019","6291","1526",
"동부","계","30~34","틈틈이 일하였음","2020년","18630","10304","1217","5505","75","1105","346","78",
"동부","계","30~34","일시 휴직","2020년","13596","7309","44","5168","43","687","240","105",
"동부","계","30~34","일하지 않았음","2020년","66558","25022","3506","29165","845","5496","1756","768",
"동부","계","35~39","합계","2020년","429423","225251","938","161338","2345","26636","10502","2413",
"동부","계","35~39","주로 일하였음","2020년","347295","198316","133","120844","473","18610","7601","1318",
"동부","계","35~39","틈틈이 일하였음","2020년","9615","4192","179","3940","48","876","337","43",
"동부","계","35~39","일시 휴직","2020년","13582","5855","29","5944","151","1000","498","105",
"동부","계","35~39","일하지 않았음","2020년","58931","16888","597","30610","1673","6150","2066","947",
"동부","계","40~44","합계","2020년","359437","167639","338","145523","3790","27131","12268","2748",
"동부","계","40~44","주로 일하였음","2020년","282313","147529","51","105988","661","18654","8094","1336",
"동부","계","40~44","틈틈이 일하였음","2020년","7415","2654","60","3535","84","770","247","65",
"동부","계","40~44","일시 휴직","2020년","11865","4557","3","5658","125","900","502","120",
