"서울특별시","남자","20~24세",36840,12197,7740,4263,194,24643
"서울특별시","남자","25~29세",78727,52229,47986,3589,654,26498
"서울특별시","남자","30~34세",81357,68497,65845,1464,1188,12860
"서울특별시","남자","35~39세",56290,47799,46106,885,808,8491
"서울특별시","남자","40~44세",51234,42674,41013,788,873,8560
"서울특별시","남자","45~49세",44115,35157,33814,617,726,8958
"서울특별시","남자","50~54세",39105,29317,28131,642,544,9788
"서울특별시","남자","55~59세",36365,25084,24127,432,525,11281
"서울특별시","남자","60~64세",25523,14814,14157,354,303,10709
"서울특별시","남자","65~69세",20943,8206,7752,237,217,12737
"서울특별시","남자","70세 이상",35375,5503,5123,303,77,29872
"서울특별시","여자","합계",603303,316332,290552,19992,5788,286971
"서울특별시","여자","15~19세",6825,1757,514,1209,34,5068
"서울특별시","여자","20~24세",57066,28607,21986,6146,475,28459
"서울특별시","여자","25~29세",79003,62853,59029,2832,992,16150
"서울특별시","여자","30~34세",63607,53325,50669,1614,1042,10282
"서울특별시","여자","35~39세",43723,36120,34235,983,902,7603
"서울특별시","여자","40~44세",37380,29276,27397,1162,717,8104
"서울특별시","여자","45~49세",31778,23565,22133,929,503,8213
"서울특별시","여자","50~54세",33118,21925,20645,916,364,11193
"서울특별시","여자","55~59세",41504,23541,22073,1130,338,17963
"서울특별시","여자","60~64세",41253,16581,15423,965,193,24672
"서울특별시","여자","65~69세",44161,9583,8657,825,101,34578
"서울특별시","여자","70세 이상",123885,9199,7791,1281,127,114686
"부산광역시","계","합계",361533,168509,157837,8025,2647,193024
"부산광역시","계","15~19세",5100,1018,434,562,22,4082
"부산광역시","계","20~24세",27750,10481,7503,2830,148,17269
"부산광역시","계","25~29세",25962,18490,17358,827,305,7472
"부산광역시","계","30~34세",22825,18711,18105,263,343,4114
"부산광역시","계","35~39세",19916,15872,15325,289,258,4044
"부산광역시","계","40~44세",22422,17311,16667,355,289,5111
"부산광역시","계","45~49세",24580,17916,17244,388,284,6664
"부산광역시","계","50~54세",28886,19139,18474,381,284,9747
"부산광역시","계","55~59세",36568,20686,19723,599,364,15882
"부산광역시","계","60~64세",35230,14858,14115,526,217,20372
"부산광역시","계","65~69세",32096,7559,7049,430,80,24537
"부산광역시","계","70세 이상",80198,6468,5840,575,53,73730
"부산광역시","남자","합계",149952,86901,82071,3349,1481,63051
"부산광역시","남자","15~19세",2509,418,190,223,5,2091
"부산광역시","남자","20~24세",12317,3441,2056,1340,45,8876
"부산광역시","남자","25~29세",13851,9004,8267,590,147,4847
"부산광역시","남자","30~34세",12816,10774,10485,133,156,2042
"부산광역시","남자","35~39세",11710,9725,9441,125,159,1985
"부산광역시","남자","40~44세",13085,10479,10148,152,179,2606
"부산광역시","남자","45~49세",13977,10748,10429,151,168,3229
"부산광역시","남자","50~54세",14876,10484,10177,124,183,4392
"부산광역시","남자","55~59세",15984,9988,9571,189,228,5996
"부산광역시","남자","60~64세",12925,6570,6323,100,147,6355
"부산광역시","남자","65~69세",9478,3165,2980,140,45,6313
"부산광역시","남자","70세 이상",16424,2105,2004,82,19,14319
"부산광역시","여자","합계",211581,81608,75766,4676,1166,129973
"부산광역시","여자","15~19세",2591,600,244,339,17,1991
"부산광역시","여자","20~24세",15433,7040,5447,1490,103,8393
"부산광역시","여자","25~29세",12111,9486,9091,237,158,2625
"부산광역시","여자","30~34세",10009,7937,7620,130,187,2072
"부산광역시","여자","35~39세",8206,6147,5884,164,99,2059
"부산광역시","여자","40~44세",9337,6832,6519,203,110,2505
"부산광역시","여자","45~49세",10603,7168,6815,237,116,3435
"부산광역시","여자","50~54세",14010,8655,8297,257,101,5355
"부산광역시","여자","55~59세",20584,10698,10152,410,136,9886
"부산광역시","여자","60~64세",22305,8288,7792,426,70,14017
"부산광역시","여자","65~69세",22618,4394,4069,290,35,18224
"부산광역시","여자","70세 이상",63774,4363,3836,493,34,59411
"대구광역시","계","합계",240348,114891,107528,5419,1944,125457
"대구광역시","계","15~19세",3106,647,322,325,,2459
"대구광역시","계","20~24세",16922,6186,4830,1295,61,10736
"대구광역시","계","25~29세",16775,11685,11132,455,98,5090
"대구광역시","계","30~34세",16840,13540,12906,321,313,3300
"대구광역시","계","35~39세",15089,12140,11713,193,234,2949
"대구광역시","계","40~44세",17342,13685,13108,252,325,3657
"대구광역시","계","45~49세",18888,13837,13241,354,242,5051
"대구광역시","계","50~54세",20850,13574,12964,371,239,7276
"대구광역시","계","55~59세",22847,12902,12260,422,220,9945
"대구광역시","계","60~64세",20481,7957,7404,468,85,12524
"대구광역시","계","65~69세",18699,4196,3800,344,52,14503
"대구광역시","계","70세 이상",52509,4542,3848,619,75,47967
"대구광역시","남자","합계",101893,61710,58525,2121,1064,40183
"대구광역시","남자","15~19세",1369,236,121,115,,1133
"대구광역시","남자","20~24세",7615,2225,1582,624,19,5390
"대구광역시","남자","25~29세",9872,6381,6042,299,40,3491
"대구광역시","남자","30~34세",10255,8445,8084,173,188,1810
"대구광역시","남자","35~39세",9108,7659,7456,73,130,1449
"대구광역시","남자","40~44세",10237,8591,8252,132,207,1646
"대구광역시","남자","45~49세",11006,8500,8211,140,149,2506
"대구광역시","남자","50~54세",10462,7335,7055,130,150,3127
"대구광역시","남자","55~59세",9692,6111,5869,132,110,3581
"대구광역시","남자","60~64세",7361,3455,3292,135,28,3906
"대구광역시","남자","65~69세",5124,1477,1396,53,28,3647
"대구광역시","남자","70세 이상",9792,1295,1165,115,15,8497
"대구광역시","여자","합계",138455,53181,49003,3298,880,85274
"대구광역시","여자","15~19세",1737,411,201,210,,1326
"대구광역시","여자","20~24세",9307,3961,3248,671,42,5346
"대구광역시","여자","25~29세",6903,5304,5090,156,58,1599
"대구광역시","여자","30~34세",6585,5095,4822,148,125,1490
"대구광역시","여자","35~39세",5981,4481,4257,120,104,1500
"대구광역시","여자","40~44세",7105,5094,4856,120,118,2011
"대구광역시","여자","45~49세",7882,5337,5030,214,93,2545
"대구광역시","여자","50~54세",10388,6239,5909,241,89,4149
"대구광역시","여자","55~59세",13155,6791,6391,290,110,6364
"대구광역시","여자","60~64세",13120,4502,4112,333,57,8618
"대구광역시","여자","65~69세",13575,2719,2404,291,24,10856
"대구광역시","여자","70세 이상",42717,3247,2683,504,60,39470
"인천광역시","계","합계",243261,140190,133460,4442,2288,103071
"인천광역시","계","15~19세",1944,499,235,258,6,1445
"인천광역시","계","20~24세",11675,6019,5228,730,61,5656
"인천광역시","계","25~29세",17905,14115,13383,431,301,3790
"인천광역시","계","30~34세",21658,18435,17756,368,311,3223
"인천광역시","계","35~39세",20266,16554,16067,254,233,3712
"인천광역시","계","40~44세",21391,17437,16791,316,330,3954
"인천광역시","계","45~49세",21275,16538,16087,251,200,4737
"인천광역시","계","50~54세",23813,16968,16315,338,315,6845
"인천광역시","계","55~59세",24659,15106,14508,401,197,9553
"인천광역시","계","60~64세",18318,8259,7793,263,203,10059
"인천광역시","계","65~69세",16498,4736,4427,269,40,11762
"인천광역시","계","70세 이상",43859,5524,4870,563,91,38335
"인천광역시","남자","합계",118296,82525,79377,1728,1420,35771
"인천광역시","남자","15~19세",936,236,108,122,6,700
"인천광역시","남자","20~24세",5657,2355,1882,438,35,3302
"인천광역시","남자","25~29세",10378,8046,7595,269,182,2332
"인천광역시","남자","30~34세",13574,11989,11693,156,140,1585
"인천광역시","남자","35~39세",12831,10981,10717,116,148,1850
"인천광역시","남자","40~44세",13889,11609,11352,83,174,2280
"인천광역시","남자","45~49세",12892,10508,10293,65,150,2384
"인천광역시","남자","50~54세",13938,10644,10315,111,218,3294
"인천광역시","남자","55~59세",12143,8318,8066,143,109,3825
"인천광역시","남자","60~64세",7776,4219,3990,77,152,3557
"인천광역시","남자","65~69세",5338,2100,2018,51,31,3238
"인천광역시","남자","70세 이상",8944,1520,1348,97,75,7424
"인천광역시","여자","합계",124965,57665,54083,2714,868,67300
"인천광역시","여자","15~19세",1008,263,127,136,,745
