"전출지별","전입지별","이동규모별",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"서울특별시","대전광역시","3인",527,510,533,412,359,339,276,258,230,233
"서울특별시","대전광역시","4인",408,376,322,278,231,219,172,141,129,128
"서울특별시","대전광역시","5인",84,54,53,47,53,39,32,25,15,24
"서울특별시","울산광역시","계",4462,4840,4811,4205,3603,3469,3272,3539,3600,3171
"서울특별시","울산광역시","1인",3838,4170,4201,3681,3222,3092,2934,3215,3296,2915
"서울특별시","울산광역시","2인",322,314,290,267,194,218,188,183,190,146
"서울특별시","울산광역시","3인",181,197,161,159,115,90,95,74,77,72
"서울특별시","울산광역시","4인",98,140,123,80,60,59,45,56,28,32
"서울특별시","울산광역시","5인",16,17,27,18,8,8,8,9,8,3
"서울특별시","세종특별자치시","계",1760,3724,4503,3965,3892,4106,4250,4143,4283,3707
"서울특별시","세종특별자치시","1인",1208,2396,2993,2904,2882,3152,3357,3371,3534,3023
"서울특별시","세종특별자치시","2인",206,440,559,471,423,437,397,360,370,351
"서울특별시","세종특별자치시","3인",177,456,480,325,329,288,274,231,235,191
"서울특별시","세종특별자치시","4인",148,339,375,218,209,182,175,149,124,120
"서울특별시","세종특별자치시","5인",18,78,82,35,37,41,38,28,16,19
"서울특별시","경기도","계",211536,210209,223760,229507,218449,233497,223871,250511,248407,201762
"서울특별시","경기도","1인",144360,146189,152976,156517,153087,162126,164089,182216,185205,157317
"서울특별시","경기도","2인",28006,26884,29798,30041,28120,30635,27163,31494,30488,22293
"서울특별시","경기도","3인",20686,19912,21868,22631,20135,22339,18102,20410,18312,12908
"서울특별시","경기도","4인",14866,13830,15334,16304,13718,14803,11639,13260,11627,7484
"서울특별시","경기도","5인",2987,2792,3078,3257,2742,2900,2394,2578,2305,1464
"서울특별시","강원도","계",16115,16569,17893,17045,16735,15872,15789,16942,17291,15338
"서울특별시","강원도","1인",13431,13853,15056,14320,14169,13627,13724,14600,14914,13358
"서울특별시","강원도","2인",1497,1504,1581,1544,1460,1310,1244,1373,1515,1265
"서울특별시","강원도","3인",678,665,715,685,638,541,463,606,521,450
"서울특별시","강원도","4인",422,437,439,386,354,301,296,294,270,214
"서울특별시","강원도","5인",74,94,81,86,92,80,52,57,60,34
"서울특별시","충청북도","계",10897,11298,11351,11285,10783,10945,10448,11073,11239,10069
"서울특별시","충청북도","1인",9152,9549,9526,9578,9239,9454,9147,9754,9957,9042
"서울특별시","충청북도","2인",990,981,1026,996,902,871,777,847,840,650
"서울특별시","충청북도","3인",430,437,481,422,382,339,316,301,271,246
"서울특별시","충청북도","4인",275,250,246,208,205,228,163,142,141,111
"서울특별시","충청북도","5인",41,67,61,70,42,43,38,25,26,14
"서울특별시","충청남도","계",16337,16754,17162,16858,16670,16299,15118,16481,16848,14799
"서울특별시","충청남도","1인",13338,13994,14153,13984,14046,13802,13034,14416,14735,12964
"서울특별시","충청남도","2인",1637,1497,1606,1591,1482,1419,1217,1240,1330,1201
"서울특별시","충청남도","3인",744,685,796,709,670,645,505,476,470,390
"서울특별시","충청남도","4인",474,482,513,452,386,340,284,277,249,191
"서울특별시","충청남도","5인",121,79,74,103,67,75,68,57,57,47
"서울특별시","전라북도","계",11868,11651,11859,11190,10822,9976,9387,9900,10200,8855
"서울특별시","전라북도","1인",10004,9935,10104,9592,9348,8707,8331,8792,9064,7950
"서울특별시","전라북도","2인",1106,955,956,927,877,778,662,691,756,608
