"읍부","계","45~49",33633,8660,4995,3809,4159,7288,2061,1065,498,1098,
"읍부","계","50~54",38469,8260,5069,3800,4231,8615,2951,2066,1135,2342,
"읍부","계","55~59",41953,7079,4504,3656,4480,10093,3842,2136,1918,4245,
"읍부","계","60~64",33972,4519,2836,2508,2833,7649,3170,2087,1990,6380,
"읍부","계","65~69",33995,2648,1983,2121,2381,6865,3241,2305,2077,10374,
"읍부","계","70~74",39731,2208,1747,1778,2101,6306,3361,2504,2452,17274,
"읍부","계","75세 이상",94862,3143,2842,2914,3542,12054,6415,4531,5279,54142,
"읍부","남자","합계",191116,55525,29156,18304,19670,32365,9342,5761,4029,16964,
"읍부","남자","20세 미만",2067,1571,265,28,104,64,9,26,,,
"읍부","남자","20~24",11356,6792,2456,776,776,386,74,41,55,,
"읍부","남자","25~29",16562,8410,3727,1716,1632,756,130,90,54,47,
"읍부","남자","30~34",19465,7536,4118,2451,2573,2306,229,87,46,119,
"읍부","남자","35~39",18367,6136,3513,2207,2229,3194,569,244,49,226,
"읍부","남자","40~44",19548,5701,3410,2176,2472,3998,759,434,178,420,
"읍부","남자","45~49",20516,5508,3151,2252,2492,4237,1141,621,283,831,
"읍부","남자","50~54",21203,5091,3094,1976,2267,4407,1333,975,563,1497,
"읍부","남자","55~59",19820,4119,2390,1770,2019,4483,1524,792,685,2038,
"읍부","남자","60~64",12738,2311,1312,1134,1128,2933,947,687,557,1729,
"읍부","남자","65~69",9377,1070,766,786,849,2049,927,549,370,2011,
"읍부","남자","70~74",7523,661,483,585,488,1540,716,506,381,2163,
"읍부","남자","75세 이상",12574,619,471,447,641,2012,984,709,808,5883,
"읍부","여자","합계",259715,37130,22259,16952,18630,42440,18350,12145,11870,79939,
"읍부","여자","20세 미만",2015,1504,300,50,67,49,23,7,15,,
"읍부","여자","20~24",10391,6101,2582,803,510,288,57,16,29,5,
"읍부","여자","25~29",8993,4096,2082,1109,1036,539,54,22,24,31,
"읍부","여자","30~34",8696,3316,1861,1098,1017,1168,132,41,40,23,
"읍부","여자","35~39",7281,2337,1429,1005,867,1277,172,61,33,100,
"읍부","여자","40~44",9475,2638,1696,1251,1290,1910,443,143,27,77,
"읍부","여자","45~49",13117,3152,1844,1557,1667,3051,920,444,215,267,
"읍부","여자","50~54",17266,3169,1975,1824,1964,4208,1618,1091,572,845,
"읍부","여자","55~59",22133,2960,2114,1886,2461,5610,2318,1344,1233,2207,
"읍부","여자","60~64",21234,2208,1524,1374,1705,4716,2223,1400,1433,4651,
"읍부","여자","65~69",24618,1578,1217,1335,1532,4816,2314,1756,1707,8363,
"읍부","여자","70~74",32208,1547,1264,1193,1613,4766,2645,1998,2071,15111,
"읍부","여자","75세 이상",82288,2524,2371,2467,2901,10042,5431,3822,4471,48259,
"면부","계","합계",636792,67263,39288,27884,33223,73367,32362,23889,24938,314578,
"면부","계","20세 미만",3525,2830,303,55,144,100,48,43,,2,
"면부","계","20~24",16010,9543,3738,1075,1075,383,35,78,65,18,
"면부","계","25~29",13913,6713,3185,1377,1238,1054,66,96,42,142,
"면부","계","30~34",15165,5751,3332,1760,1932,1740,271,85,56,238,
"면부","계","35~39",15443,4929,2686,1818,2028,2659,503,206,109,505,
"면부","계","40~44",20369,5528,3172,2298,2419,3891,1046,513,256,1246,
"면부","계","45~49",27635,6147,3572,2560,3188,5809,1880,1049,820,2610,
"면부","계","50~54",40459,6884,4449,3303,4017,8589,3378,2322,1693,5824,
"면부","계","55~59",52340,6565,4627,3670,4594,11184,4616,3028,2670,11386,
"면부","계","60~64",50959,4177,3111,2692,3609,9232,4150,3184,2749,18055,
"면부","계","65~69",59410,2807,2199,2264,2789,8380,4380,3164,3265,30162,
"면부","계","70~74",81608,2134,1828,1882,2356,7401,4227,3516,3959,54305,
"면부","계","75세 이상",239956,3255,3086,3130,3834,12945,7762,6605,9254,190085,
"면부","남자","합계",211903,42162,22949,15178,18029,34427,13237,8598,6941,50382,
"면부","남자","20세 미만",1977,1623,150,29,53,64,30,26,,2,
"면부","남자","20~24",9470,5872,2102,545,612,218,23,35,59,4,
"면부","남자","25~29",9942,4893,2285,936,819,740,57,68,34,110,
