"읍부","여자","5~19세",2697,2658,39,14,14,6,11,-,14
"읍부","여자","20~24세",17723,17454,269,114,21,48,152,26,29
"읍부","여자","25~29세",18560,18270,290,84,18,85,169,19,30
"읍부","여자","30~34세",13189,12955,234,69,23,94,149,16,48
"읍부","여자","35~39세",11609,11297,312,73,50,190,97,22,27
"읍부","여자","40~44세",12062,11789,273,100,39,112,135,31,65
"읍부","여자","45~49세",16242,15679,563,226,41,287,159,65,81
"읍부","여자","50~54세",19787,18858,929,328,101,500,280,99,130
"읍부","여자","55~59세",24955,23349,1606,535,119,1024,385,159,171
"읍부","여자","60~64세",29394,26738,2656,753,224,2074,571,334,287
"읍부","여자","65~69세",26798,23480,3318,693,330,2665,612,362,257
"읍부","여자","70~74세",26221,21487,4734,960,648,3913,874,561,383
"읍부","여자","75세 이상",74086,46447,27639,5818,7687,23225,7486,5398,4295
"면부","계","합계",720479,612119,108360,22291,27938,82762,29308,19246,18343
"면부","계","5~19세",4828,4731,97,51,-,46,24,1,1
"면부","계","20~24세",24263,24006,257,86,35,56,130,12,35
"면부","계","25~29세",28508,28201,307,172,30,53,110,16,68
"면부","계","30~34세",25239,24812,427,110,55,137,258,43,128
"면부","계","35~39세",24637,24141,496,146,36,221,237,94,170
"면부","계","40~44세",26951,26312,639,119,52,312,352,131,236
"면부","계","45~49세",37051,35670,1381,429,140,667,432,272,347
"면부","계","50~54세",51269,48722,2547,789,317,1323,757,365,511
"면부","계","55~59세",69914,65787,4127,1175,420,2524,1067,556,773
"면부","계","60~64세",81943,75919,6024,1463,829,3940,1490,847,894
"면부","계","65~69세",70655,63349,7306,1431,1085,5216,1347,877,781
"면부","계","70~74세",65692,55609,10083,2027,1653,7983,1889,1213,1053
"면부","계","75세 이상",209529,134860,74669,14293,23286,60284,21215,14819,13346
"면부","남자","합계",345918,318108,27810,6367,7426,17412,7724,5073,5624
"면부","남자","5~19세",2829,2757,72,32,-,38,2,-,-
"면부","남자","20~24세",13733,13581,152,66,30,35,57,12,22
"면부","남자","25~29세",20280,20080,200,90,16,38,83,5,53
"면부","남자","30~34세",19082,18774,308,87,50,100,178,37,102
"면부","남자","35~39세",18553,18203,350,88,30,158,178,72,126
"면부","남자","40~44세",20101,19620,481,86,40,221,281,112,197
"면부","남자","45~49세",26977,25910,1067,311,119,514,351,225,290
"면부","남자","50~54세",35378,33608,1770,498,258,965,539,304,378
"면부","남자","55~59세",44313,41613,2700,692,296,1717,674,441,550
"면부","남자","60~64세",47052,43679,3373,811,505,2148,908,596,533
"면부","남자","65~69세",34278,31187,3091,663,632,1889,666,474,470
"면부","남자","70~74세",23208,20372,2836,647,701,1870,640,445,457
"면부","남자","75세 이상",40134,28724,11410,2296,4749,7719,3167,2350,2446
"면부","여자","합계",374561,294011,80550,15924,20512,65350,21584,14173,12719
"면부","여자","5~19세",1999,1974,25,19,-,8,22,1,1
"면부","여자","20~24세",10530,10425,105,20,5,21,73,-,13
"면부","여자","25~29세",8228,8121,107,82,14,15,27,11,15
"면부","여자","30~34세",6157,6038,119,23,5,37,80,6,26
"면부","여자","35~39세",6084,5938,146,58,6,63,59,22,44
