"면부","계","30~34세",25239,22989,21843,702,444,2250,-
"면부","계","35~39세",24637,21896,20970,434,492,2741,-
"면부","계","40~44세",26951,23468,22405,455,608,3483,-
"면부","계","45~49세",37051,30950,29373,754,823,6101,-
"면부","계","50~54세",51269,41088,39128,1083,877,10181,-
"면부","계","55~59세",69914,51504,49027,1304,1173,18410,-
"면부","계","60~64세",81943,52004,49194,1633,1177,29939,-
"면부","계","65~69세",70655,36005,33990,1402,613,34650,-
"면부","계","70세 이상",275221,65051,60541,3782,728,210170,-
"면부","남자","합계",345905,235697,223310,7659,4728,110208,-
"면부","남자","15~19세",2816,677,397,275,5,2139,-
"면부","남자","20~24세",13733,7447,5400,1967,80,6286,-
"면부","남자","25~29세",20280,17762,16391,1114,257,2518,-
"면부","남자","30~34세",19082,17690,16977,462,251,1392,-
"면부","남자","35~39세",18553,16836,16278,264,294,1717,-
"면부","남자","40~44세",20101,17984,17397,195,392,2117,-
"면부","남자","45~49세",26977,23171,22210,371,590,3806,-
"면부","남자","50~54세",35378,29274,28233,492,549,6104,-
"면부","남자","55~59세",44313,34233,32813,576,844,10080,-
"면부","남자","60~64세",47052,31447,29803,801,843,15605,-
"면부","남자","65~69세",34278,18709,17860,492,357,15569,-
"면부","남자","70세 이상",63342,20467,19551,650,266,42875,-
"면부","여자","합계",374550,147632,135014,9883,2735,226918,-
"면부","여자","15~19세",1988,574,216,358,-,1414,-
"면부","여자","20~24세",10530,4799,2932,1802,65,5731,-
"면부","여자","25~29세",8228,7115,6517,477,121,1113,-
"면부","여자","30~34세",6157,5299,4866,240,193,858,-
"면부","여자","35~39세",6084,5060,4692,170,198,1024,-
"면부","여자","40~44세",6850,5484,5008,260,216,1366,-
"면부","여자","45~49세",10074,7779,7163,383,233,2295,-
"면부","여자","50~54세",15891,11814,10895,591,328,4077,-
"면부","여자","55~59세",25601,17271,16214,728,329,8330,-
"면부","여자","60~64세",34891,20557,19391,832,334,14334,-
"면부","여자","65~69세",36377,17296,16130,910,256,19081,-
"면부","여자","70세 이상",211879,44584,40990,3132,462,167295,-
"서울특별시","계","합계",1390673,901861,799960,69049,32852,488812,-
"서울특별시","계","15~19세",14209,4168,1502,2490,176,10041,-
"서울특별시","계","20~24세",123938,66640,40445,24488,1707,57298,-
"서울특별시","계","25~29세",238517,189513,167902,16314,5297,49004,-
"서울특별시","계","30~34세",183573,160314,147467,7609,5238,23259,-
"서울특별시","계","35~39세",126485,109580,101680,3401,4499,16905,-
"서울특별시","계","40~44세",91518,77090,71067,2283,3740,14428,-
"서울특별시","계","45~49세",90186,72397,66845,2361,3191,17789,-
"서울특별시","계","50~54세",82704,61804,57124,2085,2595,20900,-
"서울특별시","계","55~59세",84976,55987,51641,1975,2371,28989,-
"서울특별시","계","60~64세",94834,50910,46502,2296,2112,43924,-
"서울특별시","계","65~69세",77047,28030,25305,1677,1048,49017,-
"서울특별시","계","70세 이상",182686,25428,22480,2070,878,157258,-
"서울특별시","남자","합계",650978,458787,415670,27739,15378,192191,-
"서울특별시","남자","15~19세",5324,1328,587,691,50,3996,-
"서울특별시","남자","20~24세",42602,19076,10914,7646,516,23526,-
"서울특별시","남자","25~29세",114318,85630,74863,8676,2091,28688,-
"서울특별시","남자","30~34세",102247,88835,82487,3978,2370,13412,-
"서울특별시","남자","35~39세",70540,61866,58404,1543,1919,8674,-
"서울특별시","남자","40~44세",51144,43770,40979,924,1867,7374,-
"서울특별시","남자","45~49세",52330,43095,40422,981,1692,9235,-
"서울특별시","남자","50~54세",48793,37123,34911,860,1352,11670,-
"서울특별시","남자","55~59세",46352,31425,29337,678,1410,14927,-
"서울특별시","남자","60~64세",42318,24109,22240,735,1134,18209,-
"서울특별시","남자","65~69세",28985,12813,11770,520,523,16172,-
"서울특별시","남자","70세 이상",46025,9717,8756,507,454,36308,-
"서울특별시","여자","합계",739695,443074,384290,41310,17474,296621,-
"서울특별시","여자","15~19세",8885,2840,915,1799,126,6045,-
"서울특별시","여자","20~24세",81336,47564,29531,16842,1191,33772,-
