"전라남도","계",219463,214980,214144,836,4314,4277,37,169,175701,31747,5622,6393,209477,207869,1608,9976,9632,344,10,206139,205244,895,13324,217621,1842
"전라남도","주택",209439,205286,204753,533,4153,4118,35,,167001,31032,5342,6064,199668,198484,1184,9771,9445,326,,196598,195998,600,12841,207697,1742
"전라남도","주택이외의 거처",10024,9694,9391,303,161,159,2,169,8700,715,280,329,9809,9385,424,205,187,18,10,9541,9246,295,483,9924,100
"경상북도","계",325348,316901,315050,1851,7695,7568,127,752,280540,37323,4339,3146,295975,292250,3725,29310,27338,1972,63,300288,298304,1984,25060,322017,3331
"경상북도","주택",313724,306279,305018,1261,7445,7338,107,,270909,36205,3821,2789,285165,282119,3046,28559,26681,1878,,289937,288401,1536,23787,310594,3130
"경상북도","주택이외의 거처",11624,10622,10032,590,250,230,20,752,9631,1118,518,357,10810,10131,679,751,657,94,63,10351,9903,448,1273,11423,201
"경상남도","계",346889,338205,336190,2015,7620,7429,191,1064,301366,40552,3769,1202,327270,319844,7426,19486,17474,2012,133,320743,318687,2056,26146,343564,3325
"경상남도","주택",326248,319011,317652,1359,7237,7060,177,,282720,39358,3188,982,307287,301101,6186,18961,17042,1919,,301832,300354,1478,24416,323319,2929
"경상남도","주택이외의 거처",20641,19194,18538,656,383,369,14,1064,18646,1194,581,220,19983,18743,1240,525,432,93,133,18911,18333,578,1730,20245,396
"제주특별자치도","계",58522,57485,56960,525,862,843,19,175,57935,319,219,49,57110,55065,2045,1383,1089,294,29,55841,55147,694,2681,58067,455
"제주특별자치도","주택",53174,52406,51994,412,768,749,19,,52767,267,120,20,51913,50065,1848,1261,975,286,,50747,50202,545,2427,52811,363
"제주특별자치도","주택이외의 거처",5348,5079,4966,113,94,94,,175,5168,52,99,29,5197,5000,197,122,114,8,29,5094,4945,149,254,5256,92
