"행정구역별(시군구)","거처의 종류",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"울산광역시","연립주택",1835,1835,1834,X,X,X,X,X,1822,6,7,X,1835,1833,X,X,X,X,X,1835,1834,X,X,1835,X
"울산광역시","다세대주택",6401,6401,6396,5,X,X,X,X,6295,80,6,20,6401,6400,X,X,X,X,X,6401,6400,X,X,6401,X
"울산광역시","비거주용건물내 주택",2321,2296,2257,39,25,21,X,X,2261,54,X,X,2298,2233,65,23,14,9,X,2263,2234,29,58,2299,22
"울산광역시","주택이외의 거처",9114,9046,8562,484,17,16,X,51,9008,73,15,18,9077,8657,420,35,28,7,X,9073,8761,312,41,9089,25
"세종특별자치시","계",43577,43520,43328,192,55,54,X,X,42056,1038,156,327,43429,43246,183,147,140,7,X,43388,43315,73,189,43535,42
"세종특별자치시","주택",41118,41066,40974,92,52,52,X,X,39633,1021,152,312,40975,40888,87,143,137,6,X,40936,40924,12,182,41077,41
"세종특별자치시","단독주택",16427,16375,16290,85,52,52,X,X,14958,1009,152,308,16284,16204,80,143,137,6,X,16245,16234,11,182,16387,40
"세종특별자치시","아파트",23575,23575,23575,X,X,X,X,X,23575,X,X,X,23575,23575,X,X,X,X,X,23575,23575,X,X,23575,X
"세종특별자치시","연립주택",422,422,422,X,X,X,X,X,422,X,X,X,422,422,X,X,X,X,X,422,422,X,X,422,X
"세종특별자치시","다세대주택",397,397,397,X,X,X,X,X,389,8,X,X,397,397,X,X,X,X,X,397,397,X,X,397,X
"세종특별자치시","비거주용건물내 주택",297,297,290,7,X,X,X,X,289,X,X,X,297,290,7,X,X,X,X,297,296,X,X,296,X
"세종특별자치시","주택이외의 거처",2459,2454,2354,100,X,X,X,X,2423,17,X,15,2454,2358,96,X,X,X,X,2452,2391,61,7,2458,X
"경기도","계",1406010,1401187,1387475,13712,3912,3720,192,911,1383451,10512,3270,8777,1398410,1384831,13579,7568,6007,1561,32,1400563,1392655,7908,5447,1403086,2924
"경기도","주택",1203321,1199820,1194732,5088,3501,3335,166,X,1182749,9977,2883,7712,1196648,1191006,5642,6673,5241,1432,X,1198448,1195907,2541,4873,1200872,2449
"경기도","단독주택",483489,480089,475969,4120,3400,3241,159,X,464761,9125,2679,6924,476984,472431,4553,6505,5108,1397,X,478779,476918,1861,4710,481126,2363
"경기도","아파트",506053,506053,505899,154,X,X,X,X,506053,X,X,X,506053,505891,162,X,X,X,X,506053,505962,91,X,506053,X
"경기도","연립주택",26303,26303,26283,20,X,X,X,X,25914,204,42,143,26303,26275,28,X,X,X,X,26303,26289,14,X,26303,X
"경기도","다세대주택",165750,165750,165579,171,X,X,X,X,164835,439,80,396,165750,165571,179,X,X,X,X,165750,165644,106,X,165750,X
"경기도","비거주용건물내 주택",21726,21625,21002,623,101,94,7,X,21186,209,82,249,21558,20838,720,168,133,35,X,21563,21094,469,163,21640,86
"경기도","주택이외의 거처",202689,201367,192743,8624,411,385,26,911,200702,535,387,1065,201762,193825,7937,895,766,129,32,202115,196748,5367,574,202214,475
"강원도","계",231371,228967,227289,1678,2301,2262,39,103,214779,10082,1795,4715,223783,221922,1861,7580,7034,546,8,226688,225566,1122,4683,227744,3627
"강원도","주택",219879,217666,216796,870,2213,2177,36,X,203865,9813,1706,4495,212504,211354,1150,7375,6849,526,X,215367,214733,634,4512,216378,3501
"강원도","단독주택",128087,125905,125085,820,2182,2146,36,X,112442,9574,1677,4394,120791,119701,1090,7296,6779,517,X,123652,123039,613,4435,124657,3430
"강원도","아파트",78815,78815,78804,11,X,X,X,X,78815,X,X,X,78815,78806,9,X,X,X,X,78815,78808,7,X,78815,X
"강원도","연립주택",5472,5472,5472,X,X,X,X,X,5415,53,X,X,5472,5471,X,X,X,X,X,5472,5472,X,X,5472,X
"강원도","다세대주택",3255,3255,3252,X,X,X,X,X,3222,23,5,5,3255,3251,X,X,X,X,X,3255,3253,X,X,3255,X
"강원도","비거주용건물내 주택",4250,4219,4183,36,31,31,X,X,3971,163,22,94,4171,4125,46,79,70,9,X,4173,4161,12,77,4179,71
"강원도","주택이외의 거처",11492,11301,10493,808,88,85,X,103,10914,269,89,220,11279,10568,711,205,185,20,8,11321,10833,488,171,11366,126
"충청북도","계",236208,234727,232877,1850,1439,1419,20,42,219373,12576,1420,2839,231523,229765,1758,4679,4515,164,6,233324,232652,672,2884,234219,1989
"충청북도","주택",223647,222259,221198,1061,1388,1371,17,X,207255,12354,1344,2694,219094,218014,1080,4553,4404,149,X,220844,220602,242,2803,221722,1925
"충청북도","단독주택",130128,128759,127758,1001,1369,1352,17,X,114009,12159,1313,2647,125617,124621,996,4511,4368,143,X,127369,127142,227,2759,128238,1890
"충청북도","아파트",81138,81138,81132,6,X,X,X,X,81138,X,X,X,81138,81130,8,X,X,X,X,81138,81132,6,X,81138,X
"충청북도","연립주택",3855,3855,3855,X,X,X,X,X,3795,46,13,X,3855,3855,X,X,X,X,X,3855,3855,X,X,3855,X
"충청북도","다세대주택",5021,5021,5020,X,X,X,X,X,4974,40,X,X,5021,5021,X,X,X,X,X,5021,5020,X,X,5021,X
"충청북도","비거주용건물내 주택",3505,3486,3433,53,19,19,X,X,3339,109,14,43,3463,3387,76,42,36,6,X,3461,3453,8,44,3470,35
"충청북도","주택이외의 거처",12561,12468,11679,789,51,48,X,42,12118,222,76,145,12429,11751,678,126,111,15,6,12480,12050,430,81,12497,64
"충청남도","계",304973,301957,299750,2207,2930,2905,25,86,268263,20151,3420,13139,299069,296813,2256,5898,5689,209,6,300627,299361,1266,4346,301284,3689
"충청남도","주택",283906,281069,280237,832,2837,2814,23,X,247901,19821,3312,12872,278182,277100,1082,5724,5537,187,X,279710,279264,446,4196,280339,3567
"충청남도","단독주택",166698,163884,163129,755,2814,2794,20,X,131647,19311,3163,12577,161010,160022,988,5688,5503,185,X,162561,162165,396,4137,163179,3519
"충청남도","아파트",96888,96888,96878,10,X,X,X,X,96888,X,X,X,96888,96875,13,X,X,X,X,96888,96883,5,X,96888,X
"충청남도","연립주택",5401,5401,5397,X,X,X,X,X,5176,88,93,44,5401,5396,5,X,X,X,X,5401,5397,X,X,5401,X
"충청남도","다세대주택",10823,10823,10813,10,X,X,X,X,10366,298,31,128,10823,10818,5,X,X,X,X,10823,10816,7,X,10823,X
"충청남도","비거주용건물내 주택",4096,4073,4020,53,23,20,X,X,3824,124,25,123,4060,3989,71,36,34,X,X,4037,4003,34,59,4048,48
"충청남도","주택이외의 거처",21067,20888,19513,1375,93,91,X,86,20362,330,108,267,20887,19713,1174,174,152,22,6,20917,20097,820,150,20945,122
"전라북도","계",255269,252711,251090,1621,2511,2483,28,47,242728,8320,1027,3194,249101,247412,1689,6167,5975,192,X,250763,249874,889,4506,251945,3324
"전라북도","주택",245058,242627,241747,880,2431,2404,27,X,232825,8173,964,3096,239028,237969,1059,6030,5845,185,X,240675,240212,463,4383,241846,3212
"전라북도","단독주택",145160,142760,141917,843,2400,2376,24,X,133045,8108,947,3060,139180,138174,1006,5980,5798,182,X,140860,140421,439,4300,142003,3157
"전라북도","아파트",87848,87848,87841,7,X,X,X,X,87848,X,X,X,87848,87841,7,X,X,X,X,87848,87842,6,X,87848,X
"전라북도","연립주택",4440,4440,4440,X,X,X,X,X,4425,10,X,X,4440,4439,X,X,X,X,X,4440,4439,X,X,4440,X
"전라북도","다세대주택",4356,4356,4348,8,X,X,X,X,4345,8,X,X,4356,4353,X,X,X,X,X,4356,4351,5,X,4356,X
"전라북도","비거주용건물내 주택",3254,3223,3201,22,31,28,X,X,3162,47,14,31,3204,3162,42,50,47,X,X,3171,3159,12,83,3199,55
"전라북도","주택이외의 거처",10211,10084,9343,741,80,79,X,47,9903,147,63,98,10073,9443,630,137,130,7,X,10088,9662,426,123,10099,112
"전라남도","계",256633,253059,251480,1579,3484,3455,29,90,215301,28518,2600,10214,247184,245412,1772,9440,9253,187,9,249679,248917,762,6954,251305,5328
"전라남도","주택",239696,236305,235655,650,3391,3367,24,X,199052,28151,2517,9976,230400,229424,976,9296,9119,177,X,232879,232614,265,6817,234499,5197
"전라남도","단독주택",156434,153065,152457,608,3369,3345,24,X,116113,27912,2490,9919,147164,146251,913,9270,9093,177,X,149695,149441,254,6739,151304,5130
"전라남도","아파트",72472,72472,72462,10,X,X,X,X,72472,X,X,X,72472,72468,X,X,X,X,X,72472,72470,X,X,72472,X
"전라남도","연립주택",3866,3866,3864,X,X,X,X,X,3828,28,7,X,3866,3864,X,X,X,X,X,3866,3865,X,X,3866,X
"전라남도","다세대주택",2834,2834,2832,X,X,X,X,X,2790,30,10,X,2834,2832,X,X,X,X,X,2834,2832,X,X,2834,X
"전라남도","비거주용건물내 주택",4090,4068,4040,28,22,22,X,X,3849,181,10,50,4064,4009,55,26,26,X,X,4012,4006,6,78,4023,67
"전라남도","주택이외의 거처",16937,16754,15825,929,93,88,5,90,16249,367,83,238,16784,15988,796,144,134,10,9,16800,16303,497,137,16806,131
"경상북도","계",388791,383104,380601,2503,5565,5511,54,122,351752,31497,1682,3860,362866,359676,3190,25912,24943,969,13,376563,375094,1469,12228,379545,9246
"경상북도","주택",368027,362612,361554,1058,5415,5366,49,X,331863,30933,1574,3657,342577,340649,1928,25450,24508,942,X,356158,355512,646,11869,359055,8972
"경상북도","단독주택",241062,235714,234717,997,5348,5301,47,X,205388,30559,1512,3603,215786,213990,1796,25276,24361,915,X,229367,228756,611,11695,232228,8834
"경상북도","아파트",102562,102562,102553,9,X,X,X,X,102562,X,X,X,102562,102548,14,X,X,X,X,102562,102555,7,X,102562,X
"경상북도","연립주택",7565,7565,7561,X,X,X,X,X,7459,61,41,X,7565,7542,23,X,X,X,X,7565,7561,X,X,7565,X
"경상북도","다세대주택",11029,11029,11022,7,X,X,X,X,10914,101,X,13,11029,11024,5,X,X,X,X,11029,11021,8,X,11029,X
"경상북도","비거주용건물내 주택",5809,5742,5701,41,67,65,X,X,5540,212,20,37,5635,5545,90,174,147,27,X,5635,5619,16,174,5671,138
"경상북도","주택이외의 거처",20764,20492,19047,1445,150,145,5,122,19889,564,108,203,20289,19027,1262,462,435,27,13,20405,19582,823,359,20490,274
"경상남도","계",417737,412350,409382,2968,5164,5083,81,223,381444,34206,993,1094,401635,396620,5015,16090,15100,990,12,406296,404597,1699,11441,410296,7441
"경상남도","주택",388236,383228,381851,1377,5008,4931,77,X,352699,33660,887,990,372458,368856,3602,15778,14818,960,X,377071,376347,724,11165,381026,7210
"경상남도","단독주택",226582,221654,220368,1286,4928,4853,75,X,191535,33268,836,943,210898,207463,3435,15684,14738,946,X,215581,214924,657,11001,219490,7092
"경상남도","아파트",140608,140608,140603,5,X,X,X,X,140608,X,X,X,140608,140597,11,X,X,X,X,140608,140604,X,X,140608,X
"경상남도","연립주택",6118,6118,6118,X,X,X,X,X,6016,82,10,10,6118,6117,X,X,X,X,X,6118,6117,X,X,6118,X
"경상남도","다세대주택",8803,8803,8796,7,X,X,X,X,8724,66,X,9,8803,8796,7,X,X,X,X,8803,8800,X,X,8803,X
"경상남도","비거주용건물내 주택",6125,6045,5966,79,80,78,X,X,5816,244,37,28,6031,5883,148,94,80,14,X,5961,5902,59,164,6007,118
"경상남도","주택이외의 거처",29501,29122,27531,1591,156,152,X,223,28745,546,106,104,29177,27764,1413,312,282,30,12,29225,28250,975,276,29270,231
"제주특별자치도","계",81855,81308,80434,874,466,452,14,81,81760,42,40,13,80323,78651,1672,1531,1377,154,X,81047,80578,469,808,80861,994
"제주특별자치도","주택",70032,69598,69301,297,434,421,13,X,69956,35,34,7,68558,67317,1241,1474,1323,151,X,69273,69086,187,759,69089,943
"제주특별자치도","단독주택",38843,38419,38141,278,424,411,13,X,38783,35,18,7,37388,36197,1191,1455,1308,147,X,38100,37928,172,743,37932,911
"제주특별자치도","아파트",16195,16195,16194,X,X,X,X,X,16195,X,X,X,16195,16192,X,X,X,X,X,16195,16194,X,X,16195,X
"제주특별자치도","연립주택",5394,5394,5394,X,X,X,X,X,5380,X,14,X,5394,5390,X,X,X,X,X,5394,5394,X,X,5394,X
"제주특별자치도","다세대주택",7518,7518,7514,X,X,X,X,X,7517,X,X,X,7518,7513,5,X,X,X,X,7518,7515,X,X,7518,X
"제주특별자치도","비거주용건물내 주택",2082,2072,2058,14,10,10,X,X,2081,X,X,X,2063,2025,38,19,15,X,X,2066,2055,11,16,2050,32
"제주특별자치도","주택이외의 거처",11823,11710,11133,577,32,31,X,81,11804,7,6,6,11765,11334,431,57,54,X,X,11774,11492,282,49,11772,51
