"행정구역별","성별","연령별","혼인상태별","시점","1인가구-계","본인의 직장 때문에","본인의 학업 때문에","본인의 독립 생활을 위하여","본인의 건강 때문에","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","가족과 사별","기타",
"전국","남자","85세 이상","사별","2020년","26806","","","","745","6510","19513","38",
"전국","남자","85세 이상","이혼","2020년","1244","","","","76","1001","156","11",
"전국","여자","합계","합계","2020년","3338956","839700","152884","779320","49416","738439","764578","14619",
"전국","여자","합계","미혼","2020년","1344323","633601","152480","441184","10281","65300","34015","7462",
"전국","여자","합계","배우자 있음","2020년","348418","112045","375","50899","10741","157969","12286","4103",
"전국","여자","합계","사별","2020년","1143309","23595","","62273","17701","351347","686700","1693",
"전국","여자","합계","이혼","2020년","502906","70459","29","224964","10693","163823","31577","1361",
"전국","여자","20세 미만","합계","2020년","38265","5396","31421","","","1184","247","17",
"전국","여자","20세 미만","미혼","2020년","38265","5396","31421","","","1184","247","17",
"전국","여자","20~24","합계","2020년","277090","105522","107080","49992","","11310","2769","417",
"전국","여자","20~24","미혼","2020년","275910","105101","107014","49641","","10996","2744","414",
"전국","여자","20~24","배우자 있음","2020년","788","326","50","159","","250","","3",
"전국","여자","20~24","사별","2020년","4","","","","","4","","",
"전국","여자","20~24","이혼","2020년","388","95","16","192","","60","25","",
"전국","여자","25~29","합계","2020년","341920","223032","11716","89074","","13489","3757","852",
"전국","여자","25~29","미혼","2020년","333993","219305","11663","87004","","11599","3666","756",
"전국","여자","25~29","배우자 있음","2020년","5420","2930","40","729","","1646","","75",
"전국","여자","25~29","사별","2020년","73","23","","21","","3","26","",
"전국","여자","25~29","이혼","2020년","2434","774","13","1320","","241","65","21",
"전국","여자","30~34","합계","2020년","223843","132041","1676","72739","704","12465","3407","811",
"전국","여자","30~34","미혼","2020년","202887","121800","1574","67363","704","8075","2796","575",
"전국","여자","30~34","배우자 있음","2020년","13531","7560","102","1491","","3887","297","194",
"전국","여자","30~34","사별","2020년","227","48","","47","","31","101","",
"전국","여자","30~34","이혼","2020년","7198","2633","","3838","","472","213","42",
"전국","여자","35~39","합계","2020년","176927","85105","555","71700","1276","13228","4001","1062",
"전국","여자","35~39","미혼","2020년","144909","71217","524","61508","1045","6795","3002","818",
"전국","여자","35~39","배우자 있음","2020년","16455","8885","31","1882","107","5052","305","193",
"전국","여자","35~39","사별","2020년","567","194","","110","","47","212","4",
"전국","여자","35~39","이혼","2020년","14996","4809","","8200","124","1334","482","47",
"전국","여자","40~44","합계","2020년","154360","61882","204","69455","1926","14982","4739","1172",
"전국","여자","40~44","미혼","2020년","106495","44535","172","51228","1353","5321","3055","831",
"전국","여자","40~44","배우자 있음","2020년","19998","10152","32","2771","213","6175","391","264",
"전국","여자","40~44","사별","2020년","1225","233","","203","18","209","541","21",
"전국","여자","40~44","이혼","2020년","26642","6962","","15253","342","3277","752","56",
"전국","여자","45~49","합계","2020년","177189","59007","136","76455","2733","29092","8133","1633",
"전국","여자","45~49","미혼","2020년","84807","30668","100","42983","1333","4980","3667","1076",
"전국","여자","45~49","배우자 있음","2020년","33005","15697","36","4429","424","11536","485","398",
"전국","여자","45~49","사별","2020년","4385","692","","546","53","1220","1844","30",
"전국","여자","45~49","이혼","2020년","54992","11950","","28497","923","11356","2137","129",
"전국","여자","50~54","합계","2020년","197482","52394","26","72282","3676","53012","14378","1714",
"전국","여자","50~54","미혼","2020년","53398","16365","12","27825","1205","3646","3343","1002",
"전국","여자","50~54","배우자 있음","2020년","47693","19937","14","6114","892","19571","741","424",
"전국","여자","50~54","사별","2020년","16346","1868","","1580","163","5678","7004","53",
"전국","여자","50~54","이혼","2020년","80045","14224","","36763","1416","24117","3290","235",
"전국","여자","55~59","합계","2020년","247316","47726","45","73769","5426","85242","32917","2191",
"전국","여자","55~59","미혼","2020년","34833","9107","","17877","1188","2820","2699","1142",
"전국","여자","55~59","배우자 있음","2020년","61775","21012","45","8665","1469","28617","1303","664",
"전국","여자","55~59","사별","2020년","49913","3860","","4526","437","17369","23623","98",
"전국","여자","55~59","이혼","2020년","100795","13747","","42701","2332","36436","5292","287",
"전국","여자","60~64","합계","2020년","310184","37302","11","79793","6430","110581","74527","1540",
"전국","여자","60~64","미혼","2020년","28556","5881","","15775","1105","2484","3035","276",
"전국","여자","60~64","배우자 있음","2020년","63080","15425","11","10609","1965","32305","1945","820",
"전국","여자","60~64","사별","2020년","115678","5762","","10190","981","36398","62165","182",
"전국","여자","60~64","이혼","2020년","102870","10234","","43219","2379","39394","7382","262",
"전국","여자","65~69","합계","2020년","277787","16963","6","59383","5840","92942","101384","1269",
"전국","여자","65~69","미혼","2020년","18848","2640","","11099","874","1716","2245","274",
"전국","여자","65~69","배우자 있음","2020년","37936","6387","6","7084","1953","20227","1681","598",
"전국","여자","65~69","사별","2020년","159062","4435","","14252","1510","46494","92121","250",
"전국","여자","65~69","이혼","2020년","61941","3501","","26948","1503","24505","5337","147",
"전국","여자","70~74","합계","2020년","263396","8005","8","40497","5119","81385","127688","694",
"전국","여자","70~74","미혼","2020년","10220","1064","","6055","528","1009","1436","128",
"전국","여자","70~74","배우자 있음","2020년","22781","2442","8","4637","1400","12394","1623","277",
"전국","여자","70~74","사별","2020년","200262","3405","","16770","2314","56331","121210","232",
"전국","여자","70~74","이혼","2020년","30133","1094","","13035","877","11651","3419","57",
"전국","여자","75~79","합계","2020년","270302","4697","","24181","5597","82397","152834","596",
"전국","여자","75~79","미혼","2020년","6219","457","","2826","436","1287","1134","79",
"전국","여자","75~79","배우자 있음","2020년","14377","1144","","2329","1238","7936","1585","145",
"전국","여자","75~79","사별","2020년","236212","2688","","14028","3411","67482","148281","322",
"전국","여자","75~79","이혼","2020년","13494","408","","4998","512","5692","1834","50",
"전국","여자","80~84","합계","2020년","225791","628","","","5027","82902","136875","359",
"전국","여자","80~84","미혼","2020년","3047","65","","","221","2169","542","50",
"전국","여자","80~84","배우자 있음","2020년","8042","148","","","770","5872","1204","48",
"전국","여자","80~84","사별","2020년","209688","387","","","3883","70916","134255","247",
"전국","여자","80~84","이혼","2020년","5014","28","","","153","3945","874","14",
"전국","여자","85세 이상","합계","2020년","157104","","","","5662","54228","96922","292",
"전국","여자","85세 이상","미혼","2020년","1936","","","","289","1219","404","24",
"전국","여자","85세 이상","배우자 있음","2020년","3537","","","","310","2501","726","",
"전국","여자","85세 이상","사별","2020년","149667","","","","4931","49165","95317","254",
"전국","여자","85세 이상","이혼","2020년","1964","","","","132","1343","475","14",
"동부","계","합계","합계","2020년","5301112","1864383","288060","1503983","70141","858499","685654","30392",
"동부","계","합계","미혼","2020년","2904990","1402811","287541","950813","23256","136348","85499","18722",
"동부","계","합계","배우자 있음","2020년","611178","286363","490","79403","12044","211026","14601","7251",
"동부","계","합계","사별","2020년","909516","24895","","61093","15588","276469","529913","1558",
"동부","계","합계","이혼","2020년","875428","150314","29","412674","19253","234656","55641","2861",
"동부","계","20세 미만","합계","2020년","61466","9282","49775","","","2046","335","28",
"동부","계","20세 미만","미혼","2020년","61466","9282","49775","","","2046","335","28",
"동부","계","20~24","합계","2020년","434915","146736","186152","78198","","18427","4664","738",
"동부","계","20~24","미혼","2020년","433661","146285","186106","77804","","18127","4604","735",
"동부","계","20~24","배우자 있음","2020년","751","311","37","158","","242","","3",
"동부","계","20~24","사별","2020년","15","","","","","4","11","",
"동부","계","20~24","이혼","2020년","488","140","9","236","","54","49","",
"동부","계","25~29","합계","2020년","693054","435873","45697","174631","","26375","8316","2162",
"동부","계","25~29","미혼","2020년","681523","429977","45618","171612","","24165","8158","1993",
"동부","계","25~29","배우자 있음","2020년","7878","4659","59","1117","","1893","","150",
"동부","계","25~29","사별","2020년","160","43","","43","","10","64","",
"동부","계","25~29","이혼","2020년","3493","1194","20","1859","","307","94","19",
"동부","계","30~34","합계","2020년","546390","338801","4834","164939","1399","25307","8633","2477",
"동부","계","30~34","미혼","2020년","508097","316849","4709","156761","1399","18843","7550","1986",
"동부","계","30~34","배우자 있음","2020년","26742","17520","125","2580","","5648","422","447",
"동부","계","30~34","사별","2020년","459","125","","70","","40","224","",
