"행정구역별","성별","연령별","시점","1인가구","초등학교","중학교","고등학교","대학(4년제미만)","대학교(4년제이상)","대학원","안받았음(미취학 포함)",
"읍부","남자","50~54","2015년","21203","1559","2784","9489","1921","4405","1008","37",
"읍부","남자","55~59","2015년","19820","2906","3604","7646","1323","3249","958","134",
"읍부","남자","60~64","2015년","12738","2752","2855","4362","571","1418","435","345",
"읍부","남자","65~69","2015년","9377","2829","2251","2489","243","837","191","537",
"읍부","남자","70~74","2015년","7523","2533","1631","1488","114","745","138","874",
"읍부","남자","75~79","2015년","6310","2504","1104","1106","66","453","103","974",
"읍부","남자","80~84","2015년","4128","1683","560","645","60","282","17","881",
"읍부","남자","85세 이상","2015년","2136","934","224","133","29","87","11","718",
"읍부","여자","합계","2015년","259715","75931","28070","48064","14118","25930","5513","62089",
"읍부","여자","20세 미만","2015년","2015","","49","555","450","961","","",
"읍부","여자","20~24","2015년","10391","","75","1422","2043","6691","156","4",
"읍부","여자","25~29","2015년","8993","","50","1869","1796","4324","954","",
"읍부","여자","30~34","2015년","8696","","189","2684","2063","2965","795","",
"읍부","여자","35~39","2015년","7281","","137","3064","1458","1949","659","14",
"읍부","여자","40~44","2015년","9475","27","381","4944","1611","1894","618","",
"읍부","여자","45~49","2015년","13117","427","1081","7338","1442","2154","655","20",
"읍부","여자","50~54","2015년","17266","1706","3323","8428","1146","1884","715","64",
"읍부","여자","55~59","2015년","22133","5164","6403","7720","829","1328","506","183",
"읍부","여자","60~64","2015년","21234","8739","5620","4148","512","718","237","1260",
"읍부","여자","65~69","2015년","24618","12780","4146","2579","423","512","141","4037",
"읍부","여자","70~74","2015년","32208","16238","3030","1537","146","296","49","10912",
"읍부","여자","75~79","2015년","36849","16475","2122","999","96","181","28","16948",
"읍부","여자","80~84","2015년","29273","10356","1168","519","83","62","","17085",
"읍부","여자","85세 이상","2015년","16166","4019","296","258","20","11","","11562",
"면부","계","합계","2015년","636792","181573","58899","105013","28633","59249","12125","191300",
"면부","계","20세 미만","2015년","3525","","69","658","1044","1754","","",
"면부","계","20~24","2015년","16010","","75","1666","3598","10526","134","11",
"면부","계","25~29","2015년","13913","","82","3017","2736","7113","962","3",
"면부","계","30~34","2015년","15165","","178","4202","3424","6047","1308","6",
"면부","계","35~39","2015년","15443","","350","6273","3119","4671","1019","11",
"면부","계","40~44","2015년","20369","109","904","10647","3058","4353","1285","13",
"면부","계","45~49","2015년","27635","1059","2551","14719","2937","4825","1451","93",
"면부","계","50~54","2015년","40459","4441","6969","18169","2901","6013","1801","165",
"면부","계","55~59","2015년","52340","12111","12582","17568","2630","5157","1824","468",
"면부","계","60~64","2015년","50959","19362","11404","10892","1384","3407","1148","3362",
"면부","계","65~69","2015년","59410","28801","8996","7672","847","2327","614","10153",
