"행정구역별(시군구)","연령별",2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"행정구역별(시군구)","연령별",1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자
"대구광역시","55~59",22189,10044,12145,24210,10992,13218,25820,11943,13877,26664,12517,14147,26846,12839,14007,27615,13571,14044,27999,14178,13821
"대구광역시","60~64",18563,6914,11649,21605,8410,13195,23347,9233,14114,24956,10091,14865,26831,10986,15845,29264,12107,17157,32418,13631,18787
"대구광역시","65~69",15920,4838,11082,17755,5409,12346,19450,6218,13232,20505,6594,13911,21470,7180,14290,24493,8256,16237,27636,9649,17987
"대구광역시","70~74",15048,3423,11625,15026,3586,11440,15359,3784,11575,16350,4187,12163,17663,4673,12990,19568,5310,14258,21693,5993,15700
"대구광역시","75~79",13623,2479,11144,14600,2793,11807,16103,3166,12937,16783,3398,13385,17164,3468,13696,17391,3545,13846,17391,3681,13710
"대구광역시","80~84",8756,1420,7336,9769,1604,8165,10426,1780,8646,11416,1963,9453,12559,2200,10359,13637,2396,11241,14898,2714,12184
"대구광역시","85세 이상",4376,667,3709,5244,790,4454,5687,918,4769,6305,1029,5276,7221,1215,6006,8370,1508,6862,9739,1762,7977
"인천광역시","합계",243678,129044,114634,254076,133482,120594,266434,140100,126334,275898,143845,132053,297865,155137,142728,324841,168675,156166,355657,185694,169963
"인천광역시","20세 미만",2108,1019,1089,2306,1115,1191,2218,1050,1168,1278,506,772,1803,851,952,2510,1132,1378,2040,946,1094
"인천광역시","20~24",12081,6471,5610,12907,6754,6153,13538,6858,6680,11469,5014,6455,15019,6734,8285,17208,7512,9696,18002,8131,9871
"인천광역시","25~29",20016,12297,7719,21070,12864,8206,22511,13820,8691,24628,14736,9892,29114,17113,12001,34268,19536,14732,39351,22181,17170
"인천광역시","30~34",24460,16132,8328,23777,15822,7955,23393,15606,7787,23530,15647,7883,25370,16841,8529,28844,18969,9875,34119,22283,11836
"인천광역시","35~39",22074,14704,7370,22764,15150,7614,23672,15737,7935,24507,16335,8172,24992,16628,8364,25483,17076,8407,26996,18134,8862
"인천광역시","40~44",23654,15769,7885,22633,15002,7631,22493,14915,7578,22006,14566,7440,22235,14688,7547,23655,15500,8155,26065,17234,8831
"인천광역시","45~49",23421,14970,8451,24067,15271,8796,25235,16223,9012,26049,16696,9353,26476,17027,9449,26709,17368,9341,27001,17532,9469
"인천광역시","50~54",24027,14445,9582,23750,14329,9421,23971,14647,9324,24729,15221,9508,26102,16067,10035,27592,17090,10502,29864,18500,11364
"인천광역시","55~59",23889,12377,11512,26227,13617,12610,27963,14744,13219,28902,15444,13458,29383,15909,13474,30473,16753,13720,31584,17657,13927
"인천광역시","60~64",17298,7684,9614,20303,9131,11172,22616,10329,12287,25769,11894,13875,28723,13349,15374,31801,14901,16900,35785,16869,18916
"인천광역시","65~69",14726,5282,9444,15428,5662,9766,16810,6410,10400,17877,6885,10992,19645,7759,11886,22911,9335,13576,27344,11288,16056
"인천광역시","70~74",12913,3518,9395,13640,3859,9781,14210,4179,10031,15267,4715,10552,16738,5326,11412,18468,5969,12499,19652,6504,13148
"인천광역시","75~79",11152,2366,8786,12047,2631,9416,13401,2993,10408,14121,3252,10869,14735,3496,11239,15499,3823,11676,16333,4155,12178
