"면부","계","45~49",37051,19010,17,9693,923,4802,2298,308
"면부","계","50~54",51269,22575,1,12226,1816,9933,4166,552
"면부","계","55~59",69914,24630,2,16596,3166,16359,8367,794
"면부","계","60~64",81943,19891,-,18562,4082,21978,16781,649
"면부","계","65~69",70655,9804,-,13634,3498,19650,23588,481
"면부","계","70~74",65692,4533,-,8178,2559,18035,32162,225
"면부","계","75~79",76725,1906,-,4369,1824,21018,47412,196
"면부","계","80~84",75066,191,-,-,1443,22528,50832,72
"면부","계","85세 이상",57738,-,-,-,1243,16281,40175,39
"면부","남자","합계",345918,138262,9098,71431,13436,61942,49068,2681
"면부","남자","20세 미만",2829,537,2233,-,-,43,16,-
"면부","남자","20~24",13733,5830,5696,1301,-,715,174,17
"면부","남자","25~29",20280,14978,1098,2927,-,762,451,64
"면부","남자","30~34",19082,14175,61,3540,93,743,390,80
"면부","남자","35~39",18553,12453,4,4191,177,1026,611,91
"면부","남자","40~44",20101,12717,5,4345,318,1597,965,154
"면부","남자","45~49",26977,15117,1,6490,609,2820,1714,226
"면부","남자","50~54",35378,17256,-,8308,1229,5564,2616,405
"면부","남자","55~59",44313,18262,-,11115,2111,8685,3603,537
"면부","남자","60~64",47052,14702,-,12469,2848,11387,5191,455
"면부","남자","65~69",34278,7439,-,9220,2355,9264,5669,331
"면부","남자","70~74",23208,3432,-,5163,1736,6697,6020,160
"면부","남자","75~79",17127,1258,-,2362,1021,4971,7398,117
"면부","남자","80~84",13441,106,-,-,581,4822,7903,29
"면부","남자","85세 이상",9566,-,-,-,358,2846,6347,15
"면부","여자","합계",374561,44059,7953,36531,8062,96548,180144,1264
"면부","여자","20세 미만",1999,257,1688,-,-,41,13,-
"면부","여자","20~24",10530,3114,5854,987,-,476,95,4
"면부","여자","25~29",8228,5644,292,1686,-,479,103,24
"면부","여자","30~34",6157,3801,67,1558,51,500,160,20
"면부","여자","35~39",6084,3043,23,1975,101,641,219,82
"면부","여자","40~44",6850,3232,10,2194,204,883,234,93
"면부","여자","45~49",10074,3893,16,3203,314,1982,584,82
"면부","여자","50~54",15891,5319,1,3918,587,4369,1550,147
"면부","여자","55~59",25601,6368,2,5481,1055,7674,4764,257
"면부","여자","60~64",34891,5189,-,6093,1234,10591,11590,194
"면부","여자","65~69",36377,2365,-,4414,1143,10386,17919,150
"면부","여자","70~74",42484,1101,-,3015,823,11338,26142,65
"면부","여자","75~79",59598,648,-,2007,803,16047,40014,79
"면부","여자","80~84",61625,85,-,-,862,17706,42929,43
"면부","여자","85세 이상",48172,-,-,-,885,13435,33828,24
"서울특별시","계","합계",1390701,550099,77857,407126,14891,180902,151814,8012
"서울특별시","계","20세 미만",14237,2260,11413,-,-,482,66,16
"서울특별시","계","20~24",123938,47713,46626,22830,-,5134,1434,201
"서울특별시","계","25~29",238517,156784,17231,53153,-,7898,2775,676
"서울특별시","계","30~34",183573,118293,1906,51814,408,7720,2762,670
"서울특별시","계","35~39",126485,68462,475,46590,504,6820,3000,634
"서울특별시","계","40~44",91518,41742,104,38144,898,6721,3207,702
"서울특별시","계","45~49",90186,35842,62,38873,1023,9053,4551,782
"서울특별시","계","50~54",82704,26887,18,36019,1206,11675,5881,1018
"서울특별시","계","55~59",84976,21572,8,34060,1914,17656,8515,1251
"서울특별시","계","60~64",94834,16725,6,34168,2181,25448,15612,694
"서울특별시","계","65~69",77047,7953,-,25000,1764,21958,19707,665
"서울특별시","계","70~74",65469,3719,8,17501,1245,18465,24227,304
