"가구원수별","가계수지항목별",2019.1/4,2019.1/4,2019.1/4,2019.2/4,2019.2/4,2019.2/4,2019.3/4,2019.3/4,2019.3/4,2019.4/4,2019.4/4,2019.4/4,2020.1/4,2020.1/4,2020.1/4,2020.2/4,2020.2/4,2020.2/4,2020.3/4,2020.3/4,2020.3/4,2020.4/4,2020.4/4,2020.4/4,2021.1/4,2021.1/4,2021.1/4,2021.2/4,2021.2/4,2021.2/4,2021.3/4,2021.3/4,2021.3/4,2021.4/4,2021.4/4,2021.4/4,2022.1/4,2022.1/4,2022.1/4,2022.2/4,2022.2/4,2022.2/4,2022.3/4,2022.3/4,2022.3/4,2022.4/4,2022.4/4,2022.4/4
"가구원수별","가계수지항목별",전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구
"1인","가계지출",2010485,2508360,1471955,1885611,2273341,1411148,1912408,2292378,1450804,1931884,2340407,1424327,1783132,2119708,1362031,1750338,2076766,1342323,1849606,2179407,1418795,1819614,2147532,1383732,1814585,2192257,1338511,1862922,2196634,1394483,1984253,2268770,1572963,2001201,2348914,1508342,2033385,2411926,1511224,2091301,2372837,1684109,2199310,2464908,1801974,2171925,2497815,1681990
"1인","소비지출",1457365,1730032,1162433,1370579,1559684,1139171,1361723,1550937,1131857,1472874,1724262,1160543,1294287,1475446,1067633,1292405,1445003,1101668,1354651,1505579,1157497,1341519,1501974,1128236,1307699,1488278,1080070,1378178,1538760,1152765,1441962,1560066,1271236,1487754,1651755,1255295,1467065,1652149,1211759,1554627,1673262,1383043,1588645,1712290,1403672,1604836,1742139,1398418
"1인","01.식료품 · 비주류음료",164708,154906,175310,150794,146491,156060,171405,162796,181863,170092,158220,184843,163653,161120,166823,166174,155847,179083,197820,183728,216228,195202,177064,219312,186855,176699,199658,177443,166234,193177,210351,194618,233095,202720,184246,228905,192225,176020,214579,181874,162335,210135,204164,188453,227667,204409,182929,236701
"1인","02.주류 · 담배",34011,40933,26524,32289,36745,26836,33244,36287,29548,29248,32577,25111,29864,34836,23643,33306,39560,25490,33075,37516,27274,29303,36073,20303,29751,36546,21184,32349,37854,24621,35912,41306,28114,33630,38790,26316,33048,38306,25796,35436,40947,27466,38778,44833,29720,34121,37250,29418
"1인","03.의류 · 신발",72812,93322,50628,74587,90855,54680,58574,72522,41631,93975,115846,66802,54877,71900,33579,67052,84296,45498,55424,65990,41621,76117,93331,53236,58782,76740,36145,68043,82648,47542,57598,71374,37685,88010,107174,60846,65171,82021,41928,77954,91431,58461,74289,90482,50065,95285,110565,72313
"1인","04.주거 · 수도 · 광열",280816,301940,257967,249132,266825,227480,232948,243883,219663,256170,259843,251607,286107,293459,276908,262938,277747,244428,238036,255930,214661,244019,251005,234733,277387,282441,271017,253667,258600,246742,245082,253466,232962,262423,267325,255475,300210,301040,299064,266772,270453,261448,245575,246172,244682,277955,278473,277175
"1인","05.가정용품 · 가사서비스",50484,47393,53826,57402,55071,60254,54642,58132,50403,70410,86032,51000,45669,50487,39640,64826,65806,63601,60818,61167,60363,58122,61381,53790,54303,59864,47293,58416,63752,50926,65825,60788,73108,70295,70278,70320,58219,64316,49809,73734,69751,79495,60761,51808,74156,65872,68521,61891
"1인","06.보건",106868,94189,120582,110390,89424,136045,112469,101182,126181,105941,99342,114139,104361,94618,116552,110102,103117,118833,124209,114477,136922,128289,121556,137240,114573,102174,130203,122980,116311,132342,127952,117857,142546,118494,111044,129055,130408,124075,139144,125501,110216,147606,125486,112932,144268,130803,117723,150467
"1인","07.교통",196838,280761,106062,185690,243519,114925,150889,190730,102487,206124,283389,110129,122706,155879,81202,116195,140427,85906,123208,149121,89357,141103,176263,94367,114537,157752,60061,151121,195421,88936,167252,187570,137882,161881,205937,99435,160101,204667,98627,195529,231569,143405,193545,203914,178034,173640,216141,109746
"1인","08.통신",60621,71023,49369,61275,73076,46834,61674,72485,48541,60779,70240,49025,60649,72732,45532,58133,65732,48636,61342,71505,48066,62706,75037,46315,63084,75893,46938,61815,72507,46807,67646,75828,55818,67347,76785,53968,64005,78352,44216,61601,71686,47015,70783,80437,56340,74845,86616,57149
"1인","09.오락 · 문화",98625,121658,73710,94657,111992,73444,95985,115831,71876,104061,140056,59340,92054,116243,61790,78864,96644,56640,85340,106990,57059,81426,106304,48357,80734,102442,53369,92430,107640,71079,87218,102712,64820,95916,113124,71525,91751,112196,63549,114351,131639,89348,117375,139195,84732,112435,126540,91229
"1인","10.교육",55426,89177,18919,17816,24006,10242,44168,57296,28220,19354,27405,9351,31432,43374,16489,8611,9578,7402,32830,38839,24980,12361,18574,4102,22557,28400,15191,13133,15495,9818,29729,36097,20524,13487,16450,9287,30204,41865,14120,14739,15314,13908,36795,50021,17010,19943,22521,16069
